Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
Single,1st phase—general contingent,1,Veterinary Nursing,Daytime,1.0,1,23.0,27.0,6.0,6,Yes,No,No,1,Female,1.0,18.0,0.0,0.0,5.0,7.0,4,13.25,0,0,5,5.0,5,12.0,0,10.8,1.4,1.74,Graduate
Single,1st phase—general contingent,1,Journalism and Communication,Daytime,1.0,1,13.0,27.0,10.0,4,Yes,No,No,1,Female,0.0,20.0,0.0,0.0,6.0,6.0,5,13.2,0,0,6,7.0,0,0.0,0,15.5,2.8,-4.06,Dropout
Single,3rd phase—general contingent,1,Social Service,Daytime,1.0,1,13.0,28.0,6.0,9,Yes,No,No,1,Female,0.0,18.0,0.0,0.0,6.0,10.0,1,12.0,0,0,6,14.0,2,11.0,0,10.8,1.4,1.74,Enrolled
Single,2nd phase—general contingent,2,Nursing,Daytime,1.0,1,13.0,1.0,6.0,5,Yes,No,No,1,Female,0.0,18.0,0.0,0.0,7.0,8.0,7,13.30625,0,0,8,8.0,8,14.545,0,15.5,2.8,-4.06,Graduate
Single,1st phase—general contingent,1,Equiniculture,Daytime,1.0,1,3.0,14.0,4.0,6,Yes,No,No,1,Female,0.0,20.0,0.0,0.0,5.0,8.0,4,12.5,1,0,5,8.0,4,12.25,2,10.8,1.4,1.74,Graduate
Single,1st phase—general contingent,3,Animation and Multimedia Design,Daytime,1.0,1,1.0,1.0,10.0,9,No,No,No,1,Female,1.0,21.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,11.1,0.6,2.02,Graduate
Single,3rd phase—general contingent,4,Oral Hygiene,Daytime,1.0,1,1.0,28.0,5.0,8,Yes,No,No,1,Female,0.0,20.0,0.0,0.0,7.0,14.0,7,11.4375,0,0,8,9.0,8,11.425,0,12.7,3.7,-1.7,Enrolled
Single,1st phase—general contingent,4,Advertising and Marketing Management,Daytime,1.0,1,1.0,28.0,5.0,8,Yes,No,No,1,Female,1.0,19.0,0.0,0.0,6.0,8.0,6,13.375,0,0,6,7.0,6,12.285714285714286,0,11.1,0.6,2.02,Graduate
Single,1st phase—general contingent,1,Nursing,Daytime,1.0,1,13.0,14.0,4.0,8,No,No,No,1,Female,0.0,19.0,0.0,0.0,7.0,8.0,6,13.296666666666669,0,0,8,9.0,7,14.114285714285714,0,11.1,0.6,2.02,Graduate
Single,1st phase—general contingent,1,Veterinary Nursing,Daytime,1.0,1,13.0,14.0,4.0,4,Yes,No,No,1,Female,0.0,18.0,0.0,0.0,5.0,9.0,5,12.666666666666666,2,0,5,7.0,4,13.0,0,9.4,-0.8,-3.12,Enrolled
Single,1st phase—general contingent,1,Management,Daytime,1.0,1,13.0,1.0,10.0,10,Yes,No,No,1,Female,0.0,20.0,0.0,0.0,5.0,6.0,5,12.0,0,0,5,6.0,5,12.333333333333334,0,16.2,0.3,-0.92,Graduate
Single,2nd phase—general contingent,2,Nursing,Daytime,1.0,1,3.0,3.0,2.0,11,Yes,No,No,1,Male,0.0,19.0,0.0,0.0,7.0,9.0,6,12.933333333333332,0,0,7,7.0,6,13.716666666666669,0,16.2,0.3,-0.92,Enrolled
Single, Technological specialization diploma holders,1,Agronomy,Daytime,14.0,1,4.0,5.0,5.0,3,No,No,No,1,Male,0.0,21.0,0.0,0.0,6.0,15.0,5,11.857142857142858,0,0,6,17.0,5,10.571428571428571,0,16.2,0.3,-0.92,Enrolled
Single,1st phase—general contingent,1,Management,Daytime,1.0,1,1.0,1.0,5.0,7,No,No,No,0,Male,0.0,18.0,0.0,0.0,5.0,9.0,3,11.333333333333334,0,0,5,8.0,2,13.5,0,8.9,1.4,3.51,Enrolled
Single,1st phase—general contingent,1,Management (evening attendance),Evening,1.0,1,2.0,27.0,4.0,10,No,No,No,1,Male,0.0,34.0,0.0,0.0,5.0,6.0,5,12.4,0,0,5,9.0,5,13.428571428571429,0,13.9,-0.3,0.79,Graduate
Single,Over 23 years old,1,Biofuel Production Technologies,Daytime,1.0,1,23.0,27.0,10.0,7,No,No,Yes,0,Male,0.0,37.0,0.0,0.0,7.0,7.0,0,0.0,0,0,7,7.0,1,10.0,0,8.9,1.4,3.51,Dropout
Single,Over 23 years old,1,Informatics Engineering,Daytime,8.0,1,19.0,27.0,1.0,1,Yes,No,No,1,Male,0.0,43.0,0.0,0.0,5.0,0.0,0,0.0,0,0,5,0.0,0,0.0,0,7.6,2.6,0.32,Dropout
Single,Change in course,1,Management,Daytime,1.0,1,22.0,27.0,7.0,7,No,No,No,1,Female,0.0,55.0,0.0,0.0,5.0,10.0,1,10.0,0,0,5,8.0,2,12.0,2,16.2,0.3,-0.92,Dropout
Divorced,Over 23 years old,1,Management (evening attendance),Evening,1.0,1,13.0,14.0,10.0,4,Yes,No,No,1,Female,0.0,39.0,0.0,0.0,5.0,8.0,5,11.0,0,0,5,5.0,5,11.6,0,7.6,2.6,0.32,Graduate
Single, Technological specialization diploma holders,1,Equiniculture,Daytime,14.0,3,4.0,4.0,4.0,7,No,No,Yes,0,Female,0.0,20.0,1.0,2.0,6.0,13.0,3,11.666666666666666,0,1,6,11.0,3,12.0,0,12.4,0.5,1.79,Dropout
Single,1st phase—general contingent,5,Journalism and Communication,Daytime,1.0,1,3.0,3.0,3.0,3,No,No,Yes,1,Female,0.0,18.0,0.0,0.0,6.0,6.0,4,12.75,0,0,5,5.0,0,0.0,0,12.7,3.7,-1.7,Dropout
Single,1st phase—general contingent,2,Management,Daytime,1.0,1,3.0,14.0,3.0,8,Yes,No,No,1,Female,0.0,22.0,0.0,0.0,5.0,5.0,5,14.8,0,0,5,5.0,5,15.8,0,8.9,1.4,3.51,Graduate
Single,1st phase—general contingent,6,Nursing,Daytime,1.0,1,1.0,3.0,3.0,3,Yes,Yes,No,1,Female,0.0,22.0,0.0,0.0,7.0,9.0,5,13.928,0,0,8,9.0,7,14.342857142857142,0,11.1,0.6,2.02,Graduate
Single,2nd phase—general contingent,1,Journalism and Communication,Daytime,1.0,1,1.0,28.0,6.0,6,No,No,No,0,Female,0.0,20.0,0.0,0.0,6.0,7.0,4,13.0,0,0,6,7.0,5,13.8,0,12.4,0.5,1.79,Dropout
Single,Over 23 years old,1,Management (evening attendance),Evening,1.0,1,22.0,27.0,10.0,10,No,No,No,1,Female,0.0,29.0,0.0,0.0,5.0,0.0,0,0.0,0,0,5,0.0,0,0.0,0,16.2,0.3,-0.92,Dropout
Single,2nd phase—general contingent,1,Management (evening attendance),Evening,1.0,1,23.0,28.0,5.0,6,No,No,No,1,Female,0.0,24.0,0.0,0.0,5.0,9.0,2,11.5,0,0,5,11.0,3,14.333333333333334,1,7.6,2.6,0.32,Enrolled
Single,2nd phase—general contingent,2,Social Service,Daytime,1.0,1,13.0,14.0,10.0,10,Yes,No,No,1,Female,0.0,18.0,0.0,0.0,6.0,6.0,6,11.666666666666666,0,0,6,8.0,5,13.2,0,11.1,0.6,2.02,Graduate
Single,2nd phase—general contingent,6,Nursing,Daytime,1.0,1,22.0,14.0,8.0,8,Yes,No,No,1,Female,1.0,22.0,0.0,0.0,7.0,8.0,6,13.516666666666666,0,0,8,9.0,7,13.771428571428572,0,11.1,0.6,2.02,Graduate
Single, Technological specialization diploma holders,1,Social Service (evening attendance),Evening,14.0,1,1.0,14.0,10.0,10,No,No,No,1,Female,1.0,21.0,0.0,3.0,6.0,6.0,6,11.5,0,2,6,7.0,6,13.285714285714286,0,12.4,0.5,1.79,Graduate
Single,1st phase—general contingent,1,Social Service,Daytime,1.0,1,22.0,28.0,10.0,10,No,No,No,1,Female,1.0,19.0,0.0,0.0,6.0,7.0,5,12.333333333333334,0,0,6,7.0,6,12.833333333333334,0,12.7,3.7,-1.7,Graduate
Single,Over 23 years old,1,Tourism,Daytime,1.0,1,13.0,28.0,10.0,8,No,No,No,1,Female,1.0,24.0,0.0,0.0,6.0,6.0,6,13.666666666666666,0,0,6,6.0,6,14.166666666666666,0,12.4,0.5,1.79,Graduate
Single,1st phase—general contingent,1,Nursing,Daytime,1.0,1,22.0,28.0,7.0,7,Yes,No,No,1,Female,1.0,19.0,0.0,0.0,8.0,10.0,6,11.833333333333334,0,0,8,10.0,6,11.833333333333334,0,9.4,-0.8,-3.12,Enrolled
Single,1st phase—general contingent,1,Journalism and Communication,Daytime,1.0,1,1.0,14.0,8.0,8,Yes,No,No,1,Female,1.0,20.0,0.0,0.0,6.0,11.0,4,14.0,0,0,6,12.0,3,11.0,0,9.4,-0.8,-3.12,Enrolled
Single,1st phase—general contingent,3,Equiniculture,Daytime,1.0,1,22.0,27.0,12.0,12,No,No,No,1,Female,0.0,19.0,0.0,0.0,5.0,7.0,5,14.714285714285714,0,0,5,5.0,5,15.8,0,7.6,2.6,0.32,Graduate
Single,Over 23 years old,1,Management (evening attendance),Evening,1.0,1,23.0,28.0,10.0,10,No,No,No,1,Female,0.0,27.0,0.0,0.0,5.0,12.0,5,10.6,0,0,5,10.0,5,11.0,0,9.4,-0.8,-3.12,Dropout
Single,1st phase—general contingent,1,Nursing,Daytime,1.0,1,1.0,14.0,6.0,6,Yes,No,No,1,Female,0.0,18.0,0.0,0.0,7.0,9.0,7,13.044444444444444,0,0,8,10.0,8,13.595,0,15.5,2.8,-4.06,Graduate
Married,Holders of other higher courses,1,Tourism,Daytime,3.0,1,1.0,3.0,5.0,4,No,No,No,1,Female,0.0,39.0,0.0,0.0,6.0,10.0,0,0.0,0,0,6,6.0,0,0.0,0,12.4,0.5,1.79,Dropout
Single,Over 23 years old,1,Equiniculture,Daytime,15.0,1,3.0,3.0,3.0,3,Yes,No,No,1,Female,0.0,27.0,0.0,0.0,6.0,9.0,5,13.0,0,5,11,13.0,10,12.9,0,12.4,0.5,1.79,Dropout
Single,2nd phase—general contingent,1,Nursing,Daytime,1.0,1,23.0,28.0,8.0,11,Yes,No,No,1,Female,0.0,18.0,0.0,0.0,8.0,8.0,8,14.935,0,0,8,8.0,8,14.935,0,9.4,-0.8,-3.12,Graduate
Single,1st phase—general contingent,3,Animation and Multimedia Design,Daytime,1.0,1,23.0,27.0,5.0,10,Yes,No,No,1,Female,0.0,18.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,7.6,2.6,0.32,Enrolled
Single,1st phase—general contingent,2,Nursing,Daytime,1.0,1,13.0,14.0,10.0,10,No,No,No,1,Female,0.0,18.0,0.0,0.0,7.0,8.0,6,13.133333333333333,0,0,8,12.0,7,12.221428571428572,0,16.2,0.3,-0.92,Graduate
Single, Technological specialization diploma holders,1,Social Service,Daytime,14.0,1,13.0,1.0,10.0,10,No,No,No,1,Female,1.0,21.0,0.0,3.0,6.0,7.0,6,12.0,0,2,6,7.0,6,12.0,0,13.9,-0.3,0.79,Graduate
Single,2nd phase—general contingent,3,Animation and Multimedia Design,Daytime,1.0,1,1.0,27.0,5.0,8,Yes,No,No,1,Male,1.0,19.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,10.8,1.4,1.74,Enrolled
Single,2nd phase—general contingent,1,Communication Design,Daytime,1.0,1,1.0,1.0,4.0,5,Yes,No,No,1,Male,0.0,19.0,0.0,0.0,6.0,6.0,5,11.4,0,0,6,8.0,1,10.0,0,10.8,1.4,1.74,Enrolled
Single,Change in course,1,Communication Design,Daytime,1.0,1,1.0,1.0,4.0,4,No,No,No,1,Male,0.0,24.0,0.0,0.0,6.0,6.0,0,0.0,0,0,6,6.0,0,0.0,0,12.7,3.7,-1.7,Enrolled
Divorced,Transfer,1,Nursing,Daytime,12.0,1,1.0,1.0,6.0,6,Yes,No,No,1,Male,0.0,29.0,0.0,2.0,7.0,10.0,5,11.9,0,1,8,10.0,5,11.0,0,13.9,-0.3,0.79,Dropout
Single,1st phase—general contingent,3,Animation and Multimedia Design,Daytime,1.0,1,13.0,14.0,6.0,4,Yes,No,No,1,Male,1.0,19.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,10.8,1.4,1.74,Graduate
Single, Technological specialization diploma holders,1,Agronomy,Daytime,14.0,1,13.0,27.0,10.0,10,Yes,No,No,1,Male,0.0,23.0,0.0,0.0,6.0,8.0,6,12.571428571428571,0,0,6,7.0,6,12.428571428571429,0,8.9,1.4,3.51,Graduate
Single,1st phase—general contingent,3,Management,Daytime,1.0,1,1.0,28.0,8.0,8,No,No,Yes,1,Male,0.0,19.0,0.0,0.0,5.0,8.0,5,11.2,0,0,5,10.0,4,10.75,3,16.2,0.3,-0.92,Dropout
Single,Over 23 years old,1,Tourism,Daytime,1.0,1,13.0,27.0,8.0,11,No,No,No,1,Male,0.0,26.0,0.0,0.0,6.0,7.0,6,12.0,0,0,6,8.0,5,10.8,0,12.7,3.7,-1.7,Enrolled
Single,2nd phase—general contingent,1,Management,Daytime,1.0,1,23.0,27.0,6.0,6,No,No,No,1,Male,0.0,18.0,0.0,0.0,5.0,9.0,0,0.0,0,0,5,5.0,0,0.0,0,7.6,2.6,0.32,Enrolled
Single,2nd phase—general contingent,1,Nursing,Daytime,1.0,1,22.0,14.0,9.0,5,No,No,No,1,Male,0.0,24.0,0.0,0.0,7.0,8.0,7,11.975,0,0,8,8.0,8,13.75,0,13.9,-0.3,0.79,Graduate
Single,1st phase—general contingent,1,Animation and Multimedia Design,Daytime,1.0,1,13.0,14.0,6.0,11,Yes,No,No,1,Male,0.0,19.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,15.5,2.8,-4.06,Dropout
Single,2nd phase—general contingent,4,Tourism,Daytime,1.0,1,23.0,27.0,6.0,8,Yes,No,No,1,Male,0.0,18.0,0.0,0.0,6.0,12.0,3,11.666666666666666,0,0,6,12.0,1,12.0,0,12.4,0.5,1.79,Dropout
Single,1st phase—general contingent,2,Journalism and Communication,Daytime,1.0,1,23.0,28.0,10.0,10,Yes,No,No,1,Male,0.0,18.0,0.0,0.0,6.0,8.0,6,12.333333333333334,0,0,6,11.0,3,12.333333333333334,0,10.8,1.4,1.74,Graduate
Single,2nd phase—general contingent,3,Management,Daytime,1.0,1,13.0,14.0,5.0,8,Yes,No,Yes,1,Male,0.0,18.0,0.0,0.0,5.0,8.0,3,10.333333333333334,0,0,5,11.0,3,10.857142857142858,0,10.8,1.4,1.74,Dropout
Single,3rd phase—general contingent,4,Tourism,Daytime,1.0,1,13.0,27.0,8.0,8,Yes,No,No,1,Male,1.0,21.0,0.0,0.0,6.0,8.0,4,10.5,0,0,6,11.0,1,11.0,0,9.4,-0.8,-3.12,Dropout
Single,2nd phase—general contingent,4,Journalism and Communication,Daytime,1.0,1,1.0,14.0,10.0,9,Yes,No,Yes,1,Male,1.0,19.0,0.0,0.0,6.0,6.0,6,13.666666666666666,0,0,6,6.0,6,13.333333333333334,0,8.9,1.4,3.51,Graduate
Single,2nd phase—general contingent,4,Nursing,Daytime,1.0,1,23.0,27.0,10.0,10,No,No,No,1,Male,1.0,22.0,0.0,0.0,7.0,7.0,7,14.842857142857142,0,0,8,9.0,8,15.055555555555555,0,16.2,0.3,-0.92,Graduate
Married,Over 23 years old,1,Social Service (evening attendance),Evening,1.0,1,22.0,27.0,10.0,7,No,No,No,1,Male,0.0,33.0,0.0,0.0,6.0,8.0,6,12.0,0,0,6,6.0,6,11.666666666666666,0,10.8,1.4,1.74,Graduate
Single,Over 23 years old,1,Management (evening attendance),Evening,2.0,1,3.0,3.0,3.0,3,Yes,No,No,1,Male,0.0,35.0,0.0,0.0,1.0,1.0,0,0.0,1,0,5,0.0,0,0.0,0,10.8,1.4,1.74,Dropout
Single,Over 23 years old,1,Agronomy,Daytime,4.0,1,3.0,3.0,5.0,3,No,No,Yes,1,Male,0.0,24.0,0.0,6.0,12.0,17.0,6,12.166666666666666,0,7,12,14.0,10,13.3,0,12.4,0.5,1.79,Dropout
Single,2nd phase—general contingent,1,Tourism,Daytime,1.0,1,13.0,14.0,5.0,5,No,No,No,1,Male,0.0,18.0,0.0,0.0,5.0,6.0,5,12.0,0,0,5,8.0,3,11.333333333333334,0,12.7,3.7,-1.7,Enrolled
Married,Over 23 years old,1,Social Service (evening attendance),Evening,1.0,1,22.0,27.0,10.0,7,Yes,No,No,1,Female,0.0,33.0,0.0,0.0,6.0,7.0,6,11.0,0,0,6,11.0,5,11.0,0,9.4,-0.8,-3.12,Graduate
Single,Over 23 years old,1,Advertising and Marketing Management,Daytime,1.0,1,1.0,14.0,5.0,6,No,No,No,1,Female,1.0,25.0,0.0,0.0,5.0,7.0,4,10.5,0,0,5,7.0,5,11.6,0,9.4,-0.8,-3.12,Graduate
Single,2nd phase—general contingent,1,Communication Design,Daytime,1.0,1,13.0,28.0,5.0,1,Yes,No,No,1,Male,0.0,20.0,0.0,0.0,6.0,9.0,6,10.666666666666666,1,0,6,6.0,5,11.2,0,7.6,2.6,0.32,Graduate
Single,1st phase—general contingent,6,Management,Daytime,1.0,1,23.0,27.0,10.0,10,Yes,No,No,1,Male,0.0,23.0,0.0,0.0,5.0,6.0,4,14.0,0,0,5,5.0,5,13.8,0,11.1,0.6,2.02,Enrolled
Single,Change in course,2,Informatics Engineering,Daytime,1.0,1,23.0,14.0,10.0,7,Yes,No,Yes,1,Male,0.0,18.0,0.0,0.0,5.0,9.0,2,10.0,0,0,5,9.0,0,0.0,0,15.5,2.8,-4.06,Enrolled
Single,Over 23 years old,1,Nursing,Daytime,1.0,1,1.0,1.0,5.0,11,No,No,No,1,Male,0.0,24.0,0.0,0.0,7.0,18.0,0,0.0,0,0,7,7.0,0,0.0,0,13.9,-0.3,0.79,Dropout
Single,2nd phase—general contingent,2,Journalism and Communication,Daytime,1.0,14,13.0,1.0,10.0,10,Yes,No,No,0,Female,0.0,21.0,1.0,0.0,6.0,6.0,6,14.0,0,0,6,6.0,6,13.5,0,8.9,1.4,3.51,Graduate
Single,1st phase—general contingent,5,Nursing,Daytime,1.0,1,22.0,27.0,8.0,8,Yes,No,No,1,Female,1.0,18.0,0.0,0.0,7.0,7.0,7,13.75,0,0,8,9.0,8,14.47777777777778,0,12.4,0.5,1.79,Graduate
Single,1st phase—general contingent,1,Veterinary Nursing,Daytime,1.0,1,1.0,2.0,10.0,2,Yes,No,No,1,Female,0.0,19.0,0.0,0.0,5.0,7.0,5,14.2,2,0,5,7.0,5,13.8,0,12.7,3.7,-1.7,Enrolled
Single,1st phase—general contingent,4,Nursing,Daytime,1.0,1,3.0,3.0,3.0,3,Yes,No,Yes,0,Female,0.0,19.0,0.0,0.0,7.0,10.0,4,11.96,0,0,7,7.0,0,0.0,0,13.9,-0.3,0.79,Dropout
Single,Short cycle diploma holders,1,Veterinary Nursing,Daytime,16.0,1,23.0,28.0,10.0,10,No,No,No,1,Female,0.0,21.0,0.0,7.0,10.0,12.0,8,12.875,0,4,9,14.0,5,13.4,0,8.9,1.4,3.51,Dropout
Single,1st phase—general contingent,4,Animation and Multimedia Design,Daytime,1.0,1,1.0,1.0,10.0,11,Yes,No,No,1,Female,0.0,20.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,16.2,0.3,-0.92,Graduate
Married,Over 23 years old,1,Social Service (evening attendance),Evening,1.0,1,22.0,27.0,7.0,6,Yes,No,No,1,Female,0.0,36.0,0.0,0.0,6.0,0.0,0,0.0,0,0,6,0.0,0,0.0,0,9.4,-0.8,-3.12,Dropout
Divorced,Over 23 years old,1,Agronomy,Daytime,9.0,1,22.0,27.0,10.0,7,No,No,No,1,Female,0.0,43.0,0.0,13.0,18.0,19.0,18,14.63157894736842,0,10,13,14.0,13,14.23076923076923,1,15.5,2.8,-4.06,Graduate
Single,3rd phase—general contingent,1,Basic Education,Daytime,1.0,1,13.0,14.0,10.0,8,Yes,No,No,1,Female,0.0,19.0,0.0,0.0,6.0,0.0,0,0.0,0,0,6,0.0,0,0.0,0,11.1,0.6,2.02,Dropout
Single,Change in institution/course,1,Communication Design,Daytime,1.0,1,3.0,1.0,3.0,9,No,No,Yes,1,Female,0.0,20.0,0.0,4.0,10.0,12.0,10,13.0,0,5,11,11.0,11,12.272727272727272,0,11.1,0.6,2.02,Graduate
Single,1st phase—general contingent,2,Social Service,Daytime,1.0,1,22.0,28.0,5.0,8,Yes,No,No,1,Female,0.0,19.0,0.0,0.0,6.0,0.0,0,0.0,0,0,6,0.0,0,0.0,0,16.2,0.3,-0.92,Dropout
Single,1st phase—general contingent,1,Veterinary Nursing,Daytime,1.0,1,1.0,1.0,5.0,5,Yes,No,No,1,Female,0.0,20.0,0.0,0.0,6.0,15.0,4,14.2,0,0,6,17.0,4,13.25,0,15.5,2.8,-4.06,Dropout
Single,1st phase—general contingent,5,Nursing,Daytime,1.0,1,3.0,4.0,5.0,4,Yes,No,No,1,Female,0.0,20.0,0.0,2.0,7.0,9.0,6,13.266666666666666,0,0,7,10.0,5,12.3,0,12.4,0.5,1.79,Dropout
Single,2nd phase—general contingent,2,Basic Education,Daytime,1.0,1,13.0,1.0,10.0,4,Yes,No,No,1,Female,0.0,20.0,0.0,0.0,7.0,12.0,6,11.666666666666666,0,0,7,10.0,3,13.0,0,16.2,0.3,-0.92,Enrolled
Single,1st phase—general contingent,1,Social Service,Daytime,1.0,1,22.0,27.0,7.0,8,Yes,No,No,1,Female,0.0,18.0,0.0,0.0,6.0,8.0,6,13.857142857142858,0,0,6,6.0,6,15.0,0,13.9,-0.3,0.79,Graduate
Single,2nd phase—general contingent,2,Management,Daytime,1.0,1,1.0,28.0,5.0,8,Yes,No,No,1,Female,1.0,18.0,0.0,0.0,5.0,9.0,3,13.0,0,0,5,11.0,3,11.0,0,8.9,1.4,3.51,Enrolled
Single,1st phase—general contingent,1,Veterinary Nursing,Daytime,1.0,1,13.0,14.0,10.0,10,Yes,No,No,1,Female,0.0,19.0,0.0,0.0,5.0,6.0,5,13.4,0,0,5,5.0,5,12.8,0,10.8,1.4,1.74,Graduate
Single,1st phase—general contingent,3,Journalism and Communication,Daytime,1.0,1,1.0,28.0,5.0,8,Yes,No,No,1,Female,0.0,18.0,0.0,0.0,6.0,6.0,6,12.666666666666666,0,0,6,7.0,6,12.571428571428571,0,10.8,1.4,1.74,Graduate
Single,2nd phase—general contingent,2,Nursing,Daytime,1.0,1,22.0,27.0,10.0,10,Yes,No,No,1,Female,0.0,18.0,0.0,0.0,7.0,7.0,6,12.516666666666666,1,0,7,7.0,6,12.516666666666666,1,7.6,2.6,0.32,Dropout
Single,Change in course,1,Nursing,Daytime,1.0,1,23.0,28.0,10.0,6,No,No,No,1,Female,0.0,20.0,0.0,0.0,7.0,11.0,6,11.616666666666667,0,0,7,7.0,7,13.0,0,13.9,-0.3,0.79,Enrolled
Single,2nd phase—general contingent,1,Social Service,Daytime,1.0,1,13.0,27.0,10.0,8,Yes,No,No,1,Female,1.0,20.0,0.0,0.0,6.0,13.0,2,10.0,0,0,6,12.0,4,10.75,0,7.6,2.6,0.32,Enrolled
Single,2nd phase—general contingent,1,Management,Daytime,1.0,1,13.0,14.0,4.0,4,No,No,No,1,Female,0.0,20.0,0.0,0.0,5.0,11.0,3,10.333333333333334,0,0,5,10.0,3,10.666666666666666,0,12.4,0.5,1.79,Enrolled
Single,1st phase—general contingent,2,Veterinary Nursing,Daytime,1.0,1,22.0,28.0,10.0,8,No,No,No,1,Female,0.0,18.0,0.0,0.0,5.0,12.0,5,13.142857142857142,2,0,5,6.0,5,11.4,0,9.4,-0.8,-3.12,Graduate
Single,1st phase—general contingent,1,Management,Daytime,1.0,1,2.0,14.0,5.0,6,No,No,No,1,Female,0.0,18.0,0.0,0.0,5.0,5.0,5,12.6,0,0,5,5.0,5,14.0,0,11.1,0.6,2.02,Graduate
Single,2nd phase—general contingent,1,Tourism,Daytime,1.0,1,1.0,1.0,5.0,6,Yes,No,No,1,Female,0.0,21.0,0.0,0.0,6.0,12.0,3,11.0,0,0,6,12.0,2,11.0,0,9.4,-0.8,-3.12,Dropout
