Numero de aluno;Marital status;Application mode;Application order;Course;Daytime/evening attendance;Previous qualification;Nacionality;Mother's qualification;Father's qualification;Mother's occupation;Father's occupation;Displaced;Educational special needs;Debtor;Tuition fees up to date;Gender;Scholarship holder;Age at enrollment;International;Curricular units 1st sem (credited);Curricular units 1st sem (Dropout);Curricular units 1st sem (evaluations);Curricular units 1st sem (approved);Curricular units 1st sem (grade);Curricular units 1st sem (without evaluations);Curricular units 2nd sem (credited);Curricular units 2nd sem (Dropout);Curricular units 2nd sem (evaluations);Curricular units 2nd sem (approved);Curricular units 2nd sem (grade);Curricular units 2nd sem (without evaluations);Unemployment rate;Inflation rate;GDP;Target
24176;Single;3rd phase—general contingent;4;13;Daytime;1;1;1;28;5;8;Yes;No;No;1;Female;0;20;0;0;7;14;7;11.4375;0;0;8;9;8;11.425;0;12.7;3.7;-1.7;Dropout
99088;Single;1st phase—general contingent;4;12;Daytime;1;1;13;14;2;2;Yes;No;No;1;Female;0;18;0;0;8;12;7;12.857142857142858;0;0;8;12;7;12.857142857142858;0;12.7;3.7;-1.7;Graduate
67636;Single;1st phase—general contingent;4;14;Daytime;1;1;1;28;5;8;Yes;No;No;1;Female;1;19;0;0;6;8;6;13.375;0;0;6;7;6;12.285714285714286;0;11.1;0.6;2.02;Graduate
71478;Single;1st phase—general contingent;1;12;Daytime;1;1;13;14;4;8;No;No;No;1;Female;0;19;0;0;7;8;6;13.296666666666669;0;0;8;9;7;14.114285714285714;0;11.1;0.6;2.02;Graduate
44600;Single;1st phase—general contingent;1;10;Daytime;1;1;13;28;10;10;Yes;No;Yes;1;Female;1;18;0;0;6;8;5;11.6;0;0;6;12;4;11.0;0;7.6;2.6;0.32;Dropout
27725;Single;2nd phase—general contingent;2;10;Daytime;1;1;13;28;8;9;Yes;No;No;1;Female;0;21;0;0;6;9;6;11.375;0;0;6;9;6;13.285714285714286;0;16.2;0.3;-0.92;Graduate
36098;Single;1st phase—general contingent;1;6;Daytime;1;1;13;14;4;4;Yes;No;No;1;Female;0;18;0;0;5;9;5;12.666666666666666;2;0;5;7;4;13.0;0;9.4;-0.8;-3.12;Dropout
29071;Single;1st phase—general contingent;1;9;Daytime;1;1;13;1;10;10;Yes;No;No;1;Female;0;20;0;0;5;6;5;12.0;0;0;5;6;5;12.333333333333334;0;16.2;0.3;-0.92;Graduate
83825;Single;2nd phase—general contingent;2;12;Daytime;1;1;3;3;2;11;Yes;No;No;1;Male;0;19;0;0;7;9;6;12.933333333333332;0;0;7;7;6;13.716666666666669;0;16.2;0.3;-0.92;Dropout
77598;Single; Technological specialization diploma holders;1;4;Daytime;14;1;4;5;5;3;No;No;No;1;Male;0;21;0;0;6;15;5;11.857142857142858;0;0;6;17;5;10.571428571428571;0;16.2;0.3;-0.92;Dropout
39393;Single;Change in institution/course;1;5;Daytime;1;1;27;3;16;22;Yes;No;No;1;Male;0;20;0;2;6;7;6;12.833333333333334;0;0;6;9;4;13.4;0;8.9;1.4;3.51;Graduate
27621;Single;1st phase—general contingent;1;9;Daytime;1;1;1;1;5;7;No;No;No;0;Male;0;18;0;0;5;9;3;11.333333333333334;0;0;5;8;2;13.5;0;8.9;1.4;3.51;Dropout
83306;Single;3rd phase—general contingent;1;3;Evening;1;1;13;1;10;6;Yes;No;No;1;Female;0;19;0;0;6;6;6;12.666666666666666;0;0;6;8;6;14.375;0;12.4;0.5;1.79;Graduate
65307;Single;1st phase—general contingent;1;17;Evening;1;1;2;27;4;10;No;No;No;1;Male;0;34;0;0;5;6;5;12.4;0;0;5;9;5;13.428571428571429;0;13.9;-0.3;0.79;Graduate
32234;Single;Over 23 years old;1;1;Daytime;1;1;23;27;10;7;No;No;Yes;0;Male;0;37;0;0;7;7;0;0.0;0;0;7;7;1;10.0;0;8.9;1.4;3.51;Dropout
29269;Single;Over 23 years old;1;7;Daytime;8;1;19;27;1;1;Yes;No;No;1;Male;0;43;0;0;5;0;0;0.0;0;0;5;0;0;0.0;0;7.6;2.6;0.32;Dropout
94918;Single;Change in course;1;9;Daytime;1;1;22;27;7;7;No;No;No;1;Female;0;55;0;0;5;10;1;10.0;0;0;5;8;2;12.0;2;16.2;0.3;-0.92;Dropout
92582;Divorced;Over 23 years old;1;17;Evening;1;1;13;14;10;4;Yes;No;No;1;Female;0;39;0;0;5;8;5;11.0;0;0;5;5;5;11.6;0;7.6;2.6;0.32;Graduate
50807;Single; Technological specialization diploma holders;1;8;Daytime;14;3;4;4;4;7;No;No;Yes;0;Female;0;20;1;2;6;13;3;11.666666666666666;0;1;6;11;3;12.0;0;12.4;0.5;1.79;Dropout
66953;Single;1st phase—general contingent;5;15;Daytime;1;1;3;3;3;3;No;No;Yes;1;Female;0;18;0;0;6;6;4;12.75;0;0;5;5;0;0.0;0;12.7;3.7;-1.7;Dropout
94529;Single;1st phase—general contingent;2;9;Daytime;1;1;3;14;3;8;Yes;No;No;1;Female;0;22;0;0;5;5;5;14.8;0;0;5;5;5;15.8;0;8.9;1.4;3.51;Graduate
60045;Single;1st phase—general contingent;6;12;Daytime;1;1;1;3;3;3;Yes;Yes;No;1;Female;0;22;0;0;7;9;5;13.928;0;0;8;9;7;14.342857142857142;0;11.1;0.6;2.02;Graduate
63095;Single;2nd phase—general contingent;1;15;Daytime;1;1;1;28;6;6;No;No;No;0;Female;0;20;0;0;6;7;4;13.0;0;0;6;7;5;13.8;0;12.4;0.5;1.79;Dropout
44696;Single;Over 23 years old;1;17;Evening;1;1;22;27;10;10;No;No;No;1;Female;0;29;0;0;5;0;0;0.0;0;0;5;0;0;0.0;0;16.2;0.3;-0.92;Dropout
31373;Single;2nd phase—general contingent;1;17;Evening;1;1;23;28;5;6;No;No;No;1;Female;0;24;0;0;5;9;2;11.5;0;0;5;11;3;14.333333333333334;1;7.6;2.6;0.32;Dropout
82085;Single;2nd phase—general contingent;2;10;Daytime;1;1;13;14;10;10;Yes;No;No;1;Female;0;18;0;0;6;6;6;11.666666666666666;0;0;6;8;5;13.2;0;11.1;0.6;2.02;Graduate
14504;Single;2nd phase—general contingent;6;12;Daytime;1;1;22;14;8;8;Yes;No;No;1;Female;1;22;0;0;7;8;6;13.516666666666666;0;0;8;9;7;13.771428571428572;0;11.1;0.6;2.02;Graduate
95944;Single; Technological specialization diploma holders;1;3;Evening;14;1;1;14;10;10;No;No;No;1;Female;1;21;0;3;6;6;6;11.5;0;2;6;7;6;13.285714285714286;0;12.4;0.5;1.79;Graduate
49436;Single;1st phase—general contingent;1;10;Daytime;1;1;22;28;10;10;No;No;No;1;Female;1;19;0;0;6;7;5;12.333333333333334;0;0;6;7;6;12.833333333333334;0;12.7;3.7;-1.7;Graduate
86495;Single;Over 23 years old;1;11;Daytime;1;1;13;28;10;8;No;No;No;1;Female;1;24;0;0;6;6;6;13.666666666666666;0;0;6;6;6;14.166666666666666;0;12.4;0.5;1.79;Graduate
93763;Single;1st phase—general contingent;1;12;Daytime;1;1;22;28;7;7;Yes;No;No;1;Female;1;19;0;0;8;10;6;11.833333333333334;0;0;8;10;6;11.833333333333334;0;9.4;-0.8;-3.12;Dropout
87312;Single;1st phase—general contingent;1;15;Daytime;1;1;1;14;8;8;Yes;No;No;1;Female;1;20;0;0;6;11;4;14.0;0;0;6;12;3;11.0;0;9.4;-0.8;-3.12;Dropout
1653;Single;1st phase—general contingent;3;8;Daytime;1;1;22;27;12;12;No;No;No;1;Female;0;19;0;0;5;7;5;14.714285714285714;0;0;5;5;5;15.8;0;7.6;2.6;0.32;Graduate
27577;Single;Over 23 years old;1;17;Evening;1;1;23;28;10;10;No;No;No;1;Female;0;27;0;0;5;12;5;10.6;0;0;5;10;5;11.0;0;9.4;-0.8;-3.12;Dropout
68526;Single;1st phase—general contingent;1;12;Daytime;1;1;1;14;6;6;Yes;No;No;1;Female;0;18;0;0;7;9;7;13.044444444444444;0;0;8;10;8;13.595;0;15.5;2.8;-4.06;Graduate
35036;Married;Holders of other higher courses;1;11;Daytime;3;1;1;3;5;4;No;No;No;1;Female;0;39;0;0;6;10;0;0.0;0;0;6;6;0;0.0;0;12.4;0.5;1.79;Dropout
47122;Single;Over 23 years old;1;8;Daytime;15;1;3;3;3;3;Yes;No;No;1;Female;0;27;0;0;6;9;5;13.0;0;5;11;13;10;12.9;0;12.4;0.5;1.79;Dropout
50241;Single;2nd phase—general contingent;1;12;Daytime;1;1;23;28;8;11;Yes;No;No;1;Female;0;18;0;0;8;8;8;14.935;0;0;8;8;8;14.935;0;9.4;-0.8;-3.12;Graduate
68054;Single;1st phase—general contingent;3;2;Daytime;1;1;23;27;5;10;Yes;No;No;1;Female;0;18;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;7.6;2.6;0.32;Dropout
81080;Single;1st phase—general contingent;2;12;Daytime;1;1;13;14;10;10;No;No;No;1;Female;0;18;0;0;7;8;6;13.133333333333333;0;0;8;12;7;12.221428571428572;0;16.2;0.3;-0.92;Graduate
27319;Single; Technological specialization diploma holders;1;10;Daytime;14;1;13;1;10;10;No;No;No;1;Female;1;21;0;3;6;7;6;12.0;0;2;6;7;6;12.0;0;13.9;-0.3;0.79;Graduate
20656;Single;2nd phase—general contingent;3;2;Daytime;1;1;1;27;5;8;Yes;No;No;1;Male;1;19;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;10.8;1.4;1.74;Dropout
46716;Single;2nd phase—general contingent;1;5;Daytime;1;1;1;1;4;5;Yes;No;No;1;Male;0;19;0;0;6;6;5;11.4;0;0;6;8;1;10.0;0;10.8;1.4;1.74;Dropout
19852;Single;Change in course;1;5;Daytime;1;1;1;1;4;4;No;No;No;1;Male;0;24;0;0;6;6;0;0.0;0;0;6;6;0;0.0;0;12.7;3.7;-1.7;Dropout
6562;Divorced;Transfer;1;12;Daytime;12;1;1;1;6;6;Yes;No;No;1;Male;0;29;0;2;7;10;5;11.9;0;1;8;10;5;11.0;0;13.9;-0.3;0.79;Dropout
92005;Single;1st phase—general contingent;3;2;Daytime;1;1;13;14;6;4;Yes;No;No;1;Male;1;19;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;10.8;1.4;1.74;Graduate
96683;Single; Technological specialization diploma holders;1;4;Daytime;14;1;13;27;10;10;Yes;No;No;1;Male;0;23;0;0;6;8;6;12.571428571428571;0;0;6;7;6;12.428571428571429;0;8.9;1.4;3.51;Graduate
95682;Single;1st phase—general contingent;3;9;Daytime;1;1;1;28;8;8;No;No;Yes;1;Male;0;19;0;0;5;8;5;11.2;0;0;5;10;4;10.75;3;16.2;0.3;-0.92;Dropout
551;Single;Over 23 years old;1;11;Daytime;1;1;13;27;8;11;No;No;No;1;Male;0;26;0;0;6;7;6;12.0;0;0;6;8;5;10.8;0;12.7;3.7;-1.7;Dropout
22167;Single;2nd phase—general contingent;1;9;Daytime;1;1;23;27;6;6;No;No;No;1;Male;0;18;0;0;5;9;0;0.0;0;0;5;5;0;0.0;0;7.6;2.6;0.32;Dropout
86639;Single;2nd phase—general contingent;1;12;Daytime;1;1;22;14;9;5;No;No;No;1;Male;0;24;0;0;7;8;7;11.975;0;0;8;8;8;13.75;0;13.9;-0.3;0.79;Graduate
39984;Single;1st phase—general contingent;1;2;Daytime;1;1;13;14;6;11;Yes;No;No;1;Male;0;19;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;15.5;2.8;-4.06;Dropout
91689;Single;2nd phase—general contingent;4;11;Daytime;1;1;23;27;6;8;Yes;No;No;1;Male;0;18;0;0;6;12;3;11.666666666666666;0;0;6;12;1;12.0;0;12.4;0.5;1.79;Dropout
53251;Single;1st phase—general contingent;2;15;Daytime;1;1;23;28;10;10;Yes;No;No;1;Male;0;18;0;0;6;8;6;12.333333333333334;0;0;6;11;3;12.333333333333334;0;10.8;1.4;1.74;Graduate
63720;Single;2nd phase—general contingent;3;9;Daytime;1;1;13;14;5;8;Yes;No;Yes;1;Male;0;18;0;0;5;8;3;10.333333333333334;0;0;5;11;3;10.857142857142858;0;10.8;1.4;1.74;Dropout
85799;Single;3rd phase—general contingent;4;11;Daytime;1;1;13;27;8;8;Yes;No;No;1;Male;1;21;0;0;6;8;4;10.5;0;0;6;11;1;11.0;0;9.4;-0.8;-3.12;Dropout
64387;Single;2nd phase—general contingent;4;15;Daytime;1;1;1;14;10;9;Yes;No;Yes;1;Male;1;19;0;0;6;6;6;13.666666666666666;0;0;6;6;6;13.333333333333334;0;8.9;1.4;3.51;Graduate
43640;Single;2nd phase—general contingent;4;12;Daytime;1;1;23;27;10;10;No;No;No;1;Male;1;22;0;0;7;7;7;14.842857142857142;0;0;8;9;8;15.055555555555555;0;16.2;0.3;-0.92;Graduate
57951;Married;Over 23 years old;1;3;Evening;1;1;22;27;10;7;No;No;No;1;Male;0;33;0;0;6;8;6;12.0;0;0;6;6;6;11.666666666666666;0;10.8;1.4;1.74;Graduate
47579;Single;1st phase—general contingent;6;16;Daytime;1;1;13;14;10;10;Yes;No;No;1;Male;0;20;0;0;6;8;5;12.2;0;0;6;7;5;12.2;0;10.8;1.4;1.74;Dropout
42826;Single;Over 23 years old;1;17;Evening;2;1;3;3;3;3;Yes;No;No;1;Male;0;35;0;0;1;1;0;0.0;1;0;5;0;0;0.0;0;10.8;1.4;1.74;Dropout
92110;Single;Over 23 years old;1;4;Daytime;4;1;3;3;5;3;No;No;Yes;1;Male;0;24;0;6;12;17;6;12.166666666666666;0;7;12;14;10;13.3;0;12.4;0.5;1.79;Dropout
59673;Single;2nd phase—general contingent;1;11;Daytime;1;1;13;14;5;5;No;No;No;1;Male;0;18;0;0;5;6;5;12.0;0;0;5;8;3;11.333333333333334;0;12.7;3.7;-1.7;Dropout
67219;Married;Over 23 years old;1;3;Evening;1;1;22;27;10;7;Yes;No;No;1;Female;0;33;0;0;6;7;6;11.0;0;0;6;11;5;11.0;0;9.4;-0.8;-3.12;Graduate
65776;Single;Transfer;1;12;Daytime;1;1;22;28;10;8;Yes;No;No;1;Female;1;22;0;0;8;8;7;13.08;0;0;8;8;7;13.08;0;10.8;1.4;1.74;Graduate
16671;Single;Over 23 years old;1;14;Daytime;1;1;1;14;5;6;No;No;No;1;Female;1;25;0;0;5;7;4;10.5;0;0;5;7;5;11.6;0;9.4;-0.8;-3.12;Graduate
56792;Single;2nd phase—general contingent;1;5;Daytime;1;1;13;28;5;1;Yes;No;No;1;Male;0;20;0;0;6;9;6;10.666666666666666;1;0;6;6;5;11.2;0;7.6;2.6;0.32;Graduate
34170;Single;1st phase—general contingent;6;9;Daytime;1;1;23;27;10;10;Yes;No;No;1;Male;0;23;0;0;5;6;4;14.0;0;0;5;5;5;13.8;0;11.1;0.6;2.02;Dropout
91486;Single;Change in course;2;7;Daytime;1;1;23;14;10;7;Yes;No;Yes;1;Male;0;18;0;0;5;9;2;10.0;0;0;5;9;0;0.0;0;15.5;2.8;-4.06;Dropout
73740;Single;Over 23 years old;1;12;Daytime;1;1;1;1;5;11;No;No;No;1;Male;0;24;0;0;7;18;0;0.0;0;0;7;7;0;0.0;0;13.9;-0.3;0.79;Dropout
69315;Single;2nd phase—general contingent;2;15;Daytime;1;14;13;1;10;10;Yes;No;No;0;Female;0;21;1;0;6;6;6;14.0;0;0;6;6;6;13.5;0;8.9;1.4;3.51;Graduate
30737;Single;International student (bachelor);1;8;Daytime;1;14;1;1;5;5;No;No;No;1;Female;0;26;1;0;6;7;2;12.0;1;0;6;6;0;0.0;0;8.9;1.4;3.51;Dropout
78317;Married;Over 23 years old;1;16;Daytime;8;1;22;24;1;1;No;No;No;1;Female;0;39;0;0;6;12;3;12.666666666666666;0;0;6;14;0;0.0;1;7.6;2.6;0.32;Dropout
56821;Married;Over 23 years old;1;3;Evening;1;1;22;14;10;10;No;No;No;1;Female;0;44;0;2;8;11;8;11.875;0;0;6;7;6;12.333333333333334;0;12.7;3.7;-1.7;Graduate
54436;Single;International student (bachelor);1;7;Daytime;1;12;23;3;10;3;Yes;No;No;1;Male;0;19;1;0;5;9;5;14.0;0;0;5;11;3;13.25;0;13.9;-0.3;0.79;Dropout
35784;Single;1st phase—general contingent;5;15;Daytime;1;1;22;1;6;6;Yes;No;No;1;Female;0;18;0;0;6;6;6;13.666666666666666;0;0;6;6;6;13.333333333333334;0;8.9;1.4;3.51;Graduate
74215;Single;1st phase—general contingent;5;12;Daytime;1;1;22;27;8;8;Yes;No;No;1;Female;1;18;0;0;7;7;7;13.75;0;0;8;9;8;14.47777777777778;0;12.4;0.5;1.79;Graduate
75818;Single;1st phase—general contingent;1;6;Daytime;1;1;1;2;10;2;Yes;No;No;1;Female;0;19;0;0;5;7;5;14.2;2;0;5;7;5;13.8;0;12.7;3.7;-1.7;Dropout
47444;Single;1st phase—general contingent;4;12;Daytime;1;1;3;3;3;3;Yes;No;Yes;0;Female;0;19;0;0;7;10;4;11.96;0;0;7;7;0;0.0;0;13.9;-0.3;0.79;Dropout
21236;Single;Short cycle diploma holders;1;6;Daytime;16;1;23;28;10;10;No;No;No;1;Female;0;21;0;7;10;12;8;12.875;0;4;9;14;5;13.4;0;8.9;1.4;3.51;Dropout
38540;Single;1st phase—general contingent;4;2;Daytime;1;1;1;1;10;11;Yes;No;No;1;Female;0;20;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;16.2;0.3;-0.92;Graduate
81166;Married;Over 23 years old;1;3;Evening;1;1;22;27;7;6;Yes;No;No;1;Female;0;36;0;0;6;0;0;0.0;0;0;6;0;0;0.0;0;9.4;-0.8;-3.12;Dropout
50331;Divorced;Over 23 years old;1;4;Daytime;9;1;22;27;10;7;No;No;No;1;Female;0;43;0;13;18;19;18;14.63157894736842;0;10;13;14;13;14.23076923076923;1;15.5;2.8;-4.06;Graduate
54775;Single;3rd phase—general contingent;1;16;Daytime;1;1;13;14;10;8;Yes;No;No;1;Female;0;19;0;0;6;0;0;0.0;0;0;6;0;0;0.0;0;11.1;0.6;2.02;Dropout
58116;Single;Change in institution/course;1;5;Daytime;1;1;3;1;3;9;No;No;Yes;1;Female;0;20;0;4;10;12;10;13.0;0;5;11;11;11;12.272727272727272;0;11.1;0.6;2.02;Graduate
55070;Single;1st phase—general contingent;2;10;Daytime;1;1;22;28;5;8;Yes;No;No;1;Female;0;19;0;0;6;0;0;0.0;0;0;6;0;0;0.0;0;16.2;0.3;-0.92;Dropout
25734;Single;1st phase—general contingent;1;6;Daytime;1;1;1;1;5;5;Yes;No;No;1;Female;0;20;0;0;6;15;4;14.2;0;0;6;17;4;13.25;0;15.5;2.8;-4.06;Dropout
40321;Single;1st phase—general contingent;5;12;Daytime;1;1;3;4;5;4;Yes;No;No;1;Female;0;20;0;2;7;9;6;13.266666666666666;0;0;7;10;5;12.3;0;12.4;0.5;1.79;Dropout
20147;Single;2nd phase—general contingent;2;16;Daytime;1;1;13;1;10;4;Yes;No;No;1;Female;0;20;0;0;7;12;6;11.666666666666666;0;0;7;10;3;13.0;0;16.2;0.3;-0.92;Dropout
44724;Single;1st phase—general contingent;1;10;Daytime;1;1;22;27;7;8;Yes;No;No;1;Female;0;18;0;0;6;8;6;13.857142857142858;0;0;6;6;6;15.0;0;13.9;-0.3;0.79;Graduate
5868;Single;2nd phase—general contingent;2;9;Daytime;1;1;1;28;5;8;Yes;No;No;1;Female;1;18;0;0;5;9;3;13.0;0;0;5;11;3;11.0;0;8.9;1.4;3.51;Dropout
42221;Single;1st phase—general contingent;1;6;Daytime;1;1;13;14;10;10;Yes;No;No;1;Female;0;19;0;0;5;6;5;13.4;0;0;5;5;5;12.8;0;10.8;1.4;1.74;Graduate
99356;Single;1st phase—general contingent;3;15;Daytime;1;1;1;28;5;8;Yes;No;No;1;Female;0;18;0;0;6;6;6;12.666666666666666;0;0;6;7;6;12.571428571428571;0;10.8;1.4;1.74;Graduate
8440;Single;2nd phase—general contingent;2;12;Daytime;1;1;22;27;10;10;Yes;No;No;1;Female;0;18;0;0;7;7;6;12.516666666666666;1;0;7;7;6;12.516666666666666;1;7.6;2.6;0.32;Dropout
25936;Single;Change in course;1;12;Daytime;1;1;23;28;10;6;No;No;No;1;Female;0;20;0;0;7;11;6;11.616666666666667;0;0;7;7;7;13.0;0;13.9;-0.3;0.79;Dropout
76172;Single;2nd phase—general contingent;1;10;Daytime;1;1;13;27;10;8;Yes;No;No;1;Female;1;20;0;0;6;13;2;10.0;0;0;6;12;4;10.75;0;7.6;2.6;0.32;Dropout
73193;Single;2nd phase—general contingent;1;9;Daytime;1;1;13;14;4;4;No;No;No;1;Female;0;20;0;0;5;11;3;10.333333333333334;0;0;5;10;3;10.666666666666666;0;12.4;0.5;1.79;Dropout
34686;Single;1st phase—general contingent;2;6;Daytime;1;1;22;28;10;8;No;No;No;1;Female;0;18;0;0;5;12;5;13.142857142857142;2;0;5;6;5;11.4;0;9.4;-0.8;-3.12;Graduate
4875;Single;1st phase—general contingent;1;9;Daytime;1;1;2;14;5;6;No;No;No;1;Female;0;18;0;0;5;5;5;12.6;0;0;5;5;5;14.0;0;11.1;0.6;2.02;Graduate
28792;Single;2nd phase—general contingent;1;11;Daytime;1;1;1;1;5;6;Yes;No;No;1;Female;0;21;0;0;6;12;3;11.0;0;0;6;12;2;11.0;0;9.4;-0.8;-3.12;Dropout
85142;Single;1st phase—general contingent;2;9;Daytime;1;1;13;14;10;8;Yes;No;No;1;Female;0;19;0;0;5;8;5;10.8;0;0;5;9;4;11.25;2;16.2;0.3;-0.92;Graduate
89052;Single;1st phase—general contingent;1;2;Daytime;1;1;3;14;3;10;No;No;No;1;Female;0;19;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;10.8;1.4;1.74;Dropout
78243;Single;1st phase—general contingent;1;14;Daytime;1;1;23;28;10;10;No;No;No;1;Female;1;19;0;0;5;5;5;12.8;0;0;5;5;5;14.2;0;9.4;-0.8;-3.12;Graduate
60001;Single;1st phase—general contingent;1;6;Daytime;1;1;13;28;5;8;Yes;No;No;1;Female;0;19;0;0;6;15;6;14.166666666666666;0;0;6;13;6;12.2;0;15.5;2.8;-4.06;Graduate
31162;Single;2nd phase—general contingent;6;13;Daytime;1;1;1;1;5;6;Yes;No;No;1;Female;0;19;0;0;7;12;5;12.1;0;0;7;0;0;0.0;0;13.9;-0.3;0.79;Dropout
97805;Single; Technological specialization diploma holders;1;6;Daytime;14;1;22;27;10;10;Yes;No;No;1;Female;0;20;0;1;6;7;6;14.166666666666666;0;1;6;17;5;13.77777777777778;0;12.4;0.5;1.79;Graduate
12815;Single;1st phase—general contingent;1;16;Daytime;1;1;13;28;10;4;Yes;No;No;1;Female;1;18;0;0;6;8;5;12.8;0;0;6;7;5;13.4;0;9.4;-0.8;-3.12;Dropout
